시도,시군구,구분,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,합계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,차대사람,,,,,,,,,,,,,,,,차대차,,,,,,,,,,,,,,,,합계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,차대사람,,,,,,,,,,,,,,,,차대차,,,,,,,,,,,,,,,
,,,합계,,,,,,,,,,,횡단중,,후진중충돌,,차도통행중,,길가장자리구역통행중,,보도통행중,,기타,,정면충돌,,측면충돌,,추돌,,기타,,합계,,,,,,횡단중,,차도통행중,,길가장자리구역통행중,,보도통행중,,기타,,합계,,,,,,후진중충돌,,정면충돌,,측면충돌,,추돌,,기타,,합계,,,,,,,,,,,횡단중,,후진중충돌,,차도통행중,,길가장자리구역통행중,,보도통행중,,기타,,정면충돌,,측면충돌,,추돌,,기타,,합계,,,,,,횡단중,,차도통행중,,길가장자리구역통행중,,보도통행중,,기타,,합계,,,,,,후진중충돌,,정면충돌,,측면충돌,,추돌,,기타,
,,,합계,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,정면충돌,측면충돌,추돌,기타,후진중충돌,합계,횡단중,합계,후진중충돌,합계,차도통행중,합계,길가장자리구역통행중,합계,보도통행중,합계,기타,합계,정면충돌,합계,측면충돌,합계,추돌,합계,기타,합계,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,합계,횡단중,합계,차도통행중,합계,길가장자리구역통행중,합계,보도통행중,합계,기타,합계,정면충돌,측면충돌,추돌,기타,후진중충돌,합계,후진중충돌,합계,정면충돌,합계,측면충돌,합계,추돌,합계,기타,합계,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,정면충돌,측면충돌,추돌,기타,후진중충돌,합계,횡단중,합계,후진중충돌,합계,차도통행중,합계,길가장자리구역통행중,합계,보도통행중,합계,기타,합계,정면충돌,합계,측면충돌,합계,추돌,합계,기타,합계,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,합계,횡단중,합계,차도통행중,합계,길가장자리구역통행중,합계,보도통행중,합계,기타,합계,정면충돌,측면충돌,추돌,기타,후진중충돌,합계,후진중충돌,합계,정면충돌,합계,측면충돌,합계,추돌,합계,기타
합계,합계,사고건수,483,186,18,5,15,85,7,91,4,70,2,186,186,2,2,18,18,5,5,15,15,85,85,7,7,91,91,4,4,70,70,309,186,18,5,15,85,186,186,18,18,5,5,15,15,85,85,174,7,91,4,70,2,2,2,7,7,91,91,4,4,70,70,523,211,34,8,17,80,9,88,11,62,3,211,211,3,3,34,34,8,8,17,17,80,80,9,9,88,88,11,11,62,62,350,211,34,8,17,80,211,211,34,34,8,8,17,17,80,80,173,9,88,11,62,3,3,3,9,9,88,88,11,11,62,62
,,사망자수,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,2,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,부상자수,507,195,18,5,16,86,7,98,5,74,3,195,195,3,3,18,18,5,5,16,16,86,86,7,7,98,98,5,5,74,74,320,195,18,5,16,86,195,195,18,18,5,5,16,16,86,86,187,7,98,5,74,3,3,3,7,7,98,98,5,5,74,74,563,217,36,8,18,81,9,93,15,83,3,217,217,3,3,36,36,8,8,18,18,81,81,9,9,93,93,15,15,83,83,360,217,36,8,18,81,217,217,36,36,8,8,18,18,81,81,203,9,93,15,83,3,3,3,9,9,93,93,15,15,83,83
,,(중상자수),141,72,7,1,5,24,1,19,1,11,0,72,72,0,0,7,7,1,1,5,5,24,24,1,1,19,19,1,1,11,11,109,72,7,1,5,24,72,72,7,7,1,1,5,5,24,24,32,1,19,1,11,0,0,0,1,1,19,19,1,1,11,11,124,59,8,1,6,22,2,14,4,8,0,59,59,0,0,8,8,1,1,6,6,22,22,2,2,14,14,4,4,8,8,96,59,8,1,6,22,59,59,8,8,1,1,6,6,22,22,28,2,14,4,8,0,0,0,2,2,14,14,4,4,8,8
,,(경상자수),346,119,10,4,10,58,6,74,3,59,3,119,119,3,3,10,10,4,4,10,10,58,58,6,6,74,74,3,3,59,59,201,119,10,4,10,58,119,119,10,10,4,4,10,10,58,58,145,6,74,3,59,3,3,3,6,6,74,74,3,3,59,59,419,152,26,7,12,57,7,75,11,69,3,152,152,3,3,26,26,7,7,12,12,57,57,7,7,75,75,11,11,69,69,254,152,26,7,12,57,152,152,26,26,7,7,12,12,57,57,165,7,75,11,69,3,3,3,7,7,75,75,11,11,69,69
,종로구,사고건수,1,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,사망자수,0,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,부상자수,1,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
