브랜드명,지점명,시도명,시군구명,주소
메가커피,태안점,충청남도,태안군,충청남도 태안군 태안읍 동문2길 25 
메가커피,서산테크노밸리점,충청남도,서산시,충청남도 서산시 성연면 성연3로 45 테크노프라자101호 
메가커피,서산호수공원점,충청남도,서산시,충청남도 서산시 호수공원3로 56 (예천동) 
메가커피,서산예천점,충청남도,서산시,충청남도 서산시 예천1로 24
메가커피,서산동문점,충청남도,서산시,충청남도 서산시 고운로 275-5
메가커피,서산먹골점,충청남도,서산시,충청남도 서산시 율지18로 33
메가커피,당진푸르지오점,충청남도,당진시,충청남도 당진시 북문로 6 메가커피(당진푸르지오점) 
메가커피,당진읍내점,충청남도,당진시,충청남도 당진시 당진중앙2로 91 1층(읍내동) 
메가커피,당진터미널점,충청남도,당진시,충청남도 당진시 밤절로 146 104호(수청동) 
메가커피,대부도점,경기도,안산시,경기도 안산시 단원구 대부황금로 1466 
메가커피,대부도DI점,경기도,안산시,경기도 안산시 단원구 대부황금로 90 . 
메가커피,안면도점,충청남도,태안군,충청남도 태안군 안면읍 응지마을길 34 
메가커피,당진현대제철점,충청남도,당진시,충청남도 당진시 송산면 가곡로 156 
메가커피,당진기지시점,충청남도,당진시,충청남도 당진시 송악읍 반촌로 70-16 . 
메가커피,영종합동청사점,인천광역시,중구,인천광역시 중구 공항로424번길 60 . 
메가커피,태안점,충청남도,당진시,충청남도 당진시 신평면 거산3거리길 14 
메가커피,서산테크노밸리점,경기도,화성시,경기도 화성시 송산면 사강로 193 메가커피(화성사강점) 
메가커피,서산호수공원점,인천광역시,중구,인천광역시 중구 흰바위로 258 110호 
메가커피,서산예천점,경기도,시흥시,경기도 시흥시 거북섬4길 14 109호 웨이브프라자(정왕동) 
메가커피,서산동문점,인천광역시,중구,인천광역시 중구 신도시남로142번길6 메가스타영종129호
메가커피,서산먹골점,인천광역시,중구,인천광역시 중구 운서2로68번길 33 (운서동) 메가커피 
메가커피,당진푸르지오점,인천광역시,중구,인천광역시 중구 영종대로162번길 26 (운서동) 메가커피 
메가커피,당진읍내점,인천광역시,연수구,인천광역시 연수구  송도미래로 30 . 
메가커피,당진터미널점,인천광역시,연수구,인천광역시 연수구 인천타워대로54번길 9 (송도동) 메가커피 
메가커피,대부도점,인천광역시,연수구,"인천광역시 연수구 하모니로138번길 11 101동 119호(송도동, 송도캐슬센트럴파크) "
메가커피,대부도DI점,충청남도,홍성군,충청남도 홍성군 홍북읍 청사로174번길 12 메가커피 
메가커피,안면도점,인천광역시,연수구,"인천광역시 연수구 랜드마크로 113 (송도동, e편한세상 송도) 메가커피 "
메가커피,당진현대제철점,인천광역시,연수구,인천광역시 연수구 송도문화로28번길 28 203동135호(송도동) 
메가커피,당진기지시점,충청남도,홍성군,충청남도 홍성군 홍북읍 청사로 36 
메가커피,영종합동청사점,인천광역시,연수구,인천광역시 연수구 센트럴로 313 (송도동) 
메가커피,태안점,인천광역시,연수구,인천광역시 연수구 아트센터대로 131 . 
메가커피,서산테크노밸리점,인천광역시,연수구,인천광역시 연수구 랜드마크로 19 210(상가-1)동110호(송도동송도SKVIEW) 
메가커피,서산호수공원점,인천광역시,연수구,인천광역시 연수구 컨벤시아대로230번길 42 (송도동) 메가커피 
메가커피,서산예천점,인천광역시,연수구,인천광역시 연수구 해돋이로 168-5 (송도동) 메가커피 
메가커피,서산동문점,인천광역시,연수구,인천광역시 연수구 송도과학로16번길 33-1 (송도동) 메가커피 
메가커피,서산먹골점,인천광역시,연수구,인천광역시 연수구 신송로 125번길 13 1층104호 
메가커피,당진푸르지오점,인천광역시,연수구,인천광역시 연수구 신송로 160 (송도동) 메가커피 
메가커피,당진읍내점,경기도,평택시,경기도 평택시 함박산8길 11 . 
메가커피,당진터미널점,경기도,화성시,경기도 화성시 동탄첨단산업1로 
메가커피,대부도점,경기도,화성시,경기도 화성시 동탄첨단산업1로 58 1층(영천동퍼스트코리아) 
