행정기관코드,행정기관,시도명,시군구명,총 인구수,연령구간인구수,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,남 인구수,연령구간인구수,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,여 인구수,연령구간인구수,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
1100000000,서울특별시  ,서울특별시,서울특별시,"9,424,873","9,424,873","226,004","315,591","361,785","386,434","575,522","809,688","758,923","665,265","732,645","714,949","802,883","690,448","718,932","582,434","409,179","306,272","221,124","102,832","34,779","7,865","1,319","4,567,739","4,567,739","116,614","161,429","185,689","197,425","271,237","390,716","379,852","332,153","363,795","352,011","397,039","338,380","343,434","271,757","188,172","136,287","93,848","36,511","9,411","1,703",276,"4,857,134","4,857,134","109,390","154,162","176,096","189,009","304,285","418,972","379,071","333,112","368,850","362,938","405,844","352,068","375,498","310,677","221,007","169,985","127,276","66,321","25,368","6,162","1,043"
1111000000,서울특별시 종로구 ,서울특별시,종로구,"141,223","141,223","2,494","3,823","4,742","5,335","9,493","12,707","10,539","8,763","9,812","10,106","12,720","11,470","11,418","8,927","6,185","5,253","4,353","2,139",728,184,32,"68,314","68,314","1,272","1,906","2,343","2,676","4,270","6,303","5,286","4,305","4,755","4,849","6,326","5,735","5,793","4,432","2,854","2,272","1,826",815,231,55,10,"72,909","72,909","1,222","1,917","2,399","2,659","5,223","6,404","5,253","4,458","5,057","5,257","6,394","5,735","5,625","4,495","3,331","2,981","2,527","1,324",497,129,22
1114000000,서울특별시 중구 ,서울특별시,중구,"120,317","120,317","2,787","3,152","2,907","3,383","6,869","10,656","10,761","9,119","8,822","7,927","9,986","9,381","9,845","8,219","5,708","4,528","3,632","1,772",678,158,27,"58,443","58,443","1,432","1,606","1,471","1,655","3,128","4,995","5,340","4,598","4,520","4,010","4,957","4,818","4,952","4,054","2,714","1,937","1,475",551,186,36,8,"61,874","61,874","1,355","1,546","1,436","1,728","3,741","5,661","5,421","4,521","4,302","3,917","5,029","4,563","4,893","4,165","2,994","2,591","2,157","1,221",492,122,19
1117000000,서울특별시 용산구 ,서울특별시,용산구,"218,412","218,412","5,466","6,420","6,696","7,533","12,475","19,185","20,685","17,317","16,915","15,506","19,008","16,182","16,400","12,868","8,655","6,852","5,740","3,125","1,110",228,46,"104,974","104,974","2,813","3,259","3,405","3,841","5,693","9,039","10,256","8,576","8,441","7,552","9,282","7,968","8,067","6,205","3,964","2,826","2,285","1,097",339,58,8,"113,438","113,438","2,653","3,161","3,291","3,692","6,782","10,146","10,429","8,741","8,474","7,954","9,726","8,214","8,333","6,663","4,691","4,026","3,455","2,028",771,170,38
1120000000,서울특별시 성동구 ,서울특별시,성동구,"280,707","280,707","8,542","9,563","8,648","9,813","17,733","24,283","23,202","22,270","22,176","20,042","23,803","21,111","21,806","16,566","11,163","8,926","6,665","3,175",972,205,43,"136,442","136,442","4,454","4,846","4,348","4,814","8,507","12,063","11,220","11,003","11,266","9,926","11,660","10,495","10,845","7,884","5,143","3,818","2,749","1,075",265,50,11,"144,265","144,265","4,088","4,717","4,300","4,999","9,226","12,220","11,982","11,267","10,910","10,116","12,143","10,616","10,961","8,682","6,020","5,108","3,916","2,100",707,155,32
1121500000,서울특별시 광진구 ,서울특별시,광진구,"337,258","337,258","6,733","9,566","11,484","12,987","23,880","36,145","30,697","23,986","24,805","24,322","28,160","25,089","25,428","19,420","13,039","9,733","7,170","3,271","1,051",250,42,"162,460","162,460","3,436","4,961","5,891","6,454","10,897","17,118","15,364","11,868","12,126","11,981","13,658","12,266","12,246","9,191","6,018","4,388","3,086","1,143",296,60,12,"174,798","174,798","3,297","4,605","5,593","6,533","12,983","19,027","15,333","12,118","12,679","12,341","14,502","12,823","13,182","10,229","7,021","5,345","4,084","2,128",755,190,30
1123000000,서울특별시 동대문구 ,서울특별시,동대문구,"336,415","336,415","8,090","10,451","10,801","11,890","25,450","30,523","25,384","23,065","24,938","23,424","27,195","24,503","26,164","21,705","15,469","12,317","9,241","4,214","1,277",260,54,"165,657","165,657","4,056","5,371","5,579","5,981","11,446","15,574","12,957","11,993","12,878","12,028","13,707","12,438","12,888","10,448","7,071","5,393","3,877","1,535",371,56,10,"170,758","170,758","4,034","5,080","5,222","5,909","14,004","14,949","12,427","11,072","12,060","11,396","13,488","12,065","13,276","11,257","8,398","6,924","5,364","2,679",906,204,44
1126000000,서울특별시 중랑구 ,서울특별시,중랑구,"385,097","385,097","9,051","11,171","11,812","12,972","20,619","31,428","31,043","26,629","28,232","26,396","33,167","32,448","34,976","27,232","18,464","13,634","9,819","4,245","1,382",327,50,"189,367","189,367","4,613","5,695","6,049","6,625","9,997","15,170","15,765","13,833","14,853","13,516","16,459","15,993","17,060","13,040","8,591","6,060","4,127","1,499",335,77,10,"195,730","195,730","4,438","5,476","5,763","6,347","10,622","16,258","15,278","12,796","13,379","12,880","16,708","16,455","17,916","14,192","9,873","7,574","5,692","2,746","1,047",250,40
1129000000,서울특별시 성북구 ,서울특별시,성북구,"429,967","429,967","10,554","15,149","16,956","19,078","31,564","33,762","29,207","28,158","32,391","33,381","38,901","31,445","31,821","25,732","18,327","14,650","11,511","5,239","1,713",379,49,"206,716","206,716","5,434","7,713","8,650","9,649","14,245","16,830","14,728","13,967","16,003","16,193","19,317","15,471","15,048","11,939","8,175","6,175","4,741","1,883",477,69,9,"223,251","223,251","5,120","7,436","8,306","9,429","17,319","16,932","14,479","14,191","16,388","17,188","19,584","15,974","16,773","13,793","10,152","8,475","6,770","3,356","1,236",310,40
1130500000,서울특별시 강북구 ,서울특별시,강북구,"293,313","293,313","5,046","7,655","9,309","10,639","17,654","22,010","19,005","16,796","20,364","21,648","26,530","24,250","26,012","21,444","16,293","13,081","9,886","4,159","1,215",274,43,"142,435","142,435","2,604","3,906","4,785","5,370","8,219","11,057","9,901","8,874","10,666","10,950","13,231","11,884","12,343","9,960","7,114","5,492","4,062","1,598",349,58,12,"150,878","150,878","2,442","3,749","4,524","5,269","9,435","10,953","9,104","7,922","9,698","10,698","13,299","12,366","13,669","11,484","9,179","7,589","5,824","2,561",866,216,31
1132000000,서울특별시 도봉구 ,서울특별시,도봉구,"311,260","311,260","6,120","9,314","10,977","12,454","17,529","21,623","19,733","18,438","21,601","22,625","28,472","26,263","28,782","23,465","15,953","12,218","9,571","4,289","1,458",332,43,"151,168","151,168","3,212","4,799","5,666","6,441","8,691","10,914","10,088","9,525","10,898","11,114","13,693","12,583","13,440","11,132","7,534","5,417","4,044","1,499",383,85,10,"160,092","160,092","2,908","4,515","5,311","6,013","8,838","10,709","9,645","8,913","10,703","11,511","14,779","13,680","15,342","12,333","8,419","6,801","5,527","2,790","1,075",247,33
1135000000,서울특별시 노원구 ,서울특별시,노원구,"502,835","502,835","11,201","16,883","22,356","26,486","34,105","33,314","31,614","30,099","36,978","41,330","47,678","38,566","39,839","32,214","21,996","16,493","12,676","6,228","2,215",486,78,"241,694","241,694","5,824","8,654","11,604","13,713","17,226","17,129","15,775","15,042","17,835","19,484","23,028","18,591","18,602","14,858","9,949","6,906","4,838","1,960",566,97,13,"261,141","261,141","5,377","8,229","10,752","12,773","16,879","16,185","15,839","15,057","19,143","21,846","24,650","19,975","21,237","17,356","12,047","9,587","7,838","4,268","1,649",389,65
1138000000,서울특별시 은평구 ,서울특별시,은평구,"466,237","466,237","10,694","14,849","17,139","19,201","26,510","36,439","34,605","31,208","35,637","36,032","41,368","35,316","37,520","30,083","21,667","16,986","12,938","5,916","1,699",381,49,"222,263","222,263","5,516","7,594","8,765","9,879","12,775","16,837","16,827","15,454","17,741","17,637","20,155","16,796","17,624","13,662","9,583","7,193","5,493","2,148",487,84,13,"243,974","243,974","5,178","7,255","8,374","9,322","13,735","19,602","17,778","15,754","17,896","18,395","21,213","18,520","19,896","16,421","12,084","9,793","7,445","3,768","1,212",297,36
1141000000,서울특별시 서대문구 ,서울특별시,서대문구,"307,277","307,277","7,826","10,637","10,825","11,893","21,600","27,185","23,255","21,283","22,936","22,297","26,366","22,611","22,806","17,951","12,658","10,633","8,702","4,170","1,315",275,53,"146,294","146,294","4,037","5,327","5,512","5,869","9,666","13,221","11,480","10,504","11,376","10,831","12,842","10,949","10,918","8,334","5,516","4,429","3,525","1,503",388,55,12,"160,983","160,983","3,789","5,310","5,313","6,024","11,934","13,964","11,775","10,779","11,560","11,466","13,524","11,662","11,888","9,617","7,142","6,204","5,177","2,667",927,220,41
1144000000,서울특별시 마포구 ,서울특별시,마포구,"364,938","364,938","9,340","12,314","13,227","14,152","24,034","35,955","33,613","29,532","29,582","28,583","30,795","24,478","23,582","18,128","12,861","10,533","8,407","4,093","1,406",266,57,"171,114","171,114","4,848","6,237","6,705","7,098","10,452","16,086","15,790","14,015","14,450","13,705","15,049","11,929","11,289","8,266","5,529","4,325","3,408","1,442",414,64,13,"193,824","193,824","4,492","6,077","6,522","7,054","13,582","19,869","17,823","15,517","15,132","14,878","15,746","12,549","12,293","9,862","7,332","6,208","4,999","2,651",992,202,44
1147000000,서울특별시 양천구 ,서울특별시,양천구,"440,631","440,631","9,657","17,230","23,915","24,743","25,434","29,206","27,248","26,749","35,603","38,454","41,260","33,993","34,549","27,409","18,610","12,353","8,346","3,995","1,496",329,52,"215,557","215,557","5,055","8,793","12,402","12,935","12,997","14,624","13,776","13,038","16,915","18,493","20,510","16,816","16,624","12,915","8,895","5,632","3,461","1,242",345,80,9,"225,074","225,074","4,602","8,437","11,513","11,808","12,437","14,582","13,472","13,711","18,688","19,961","20,750","17,177","17,925","14,494","9,715","6,721","4,885","2,753","1,151",249,43
1150000000,서울특별시 강서구 ,서울특별시,강서구,"568,805","568,805","14,247","19,110","21,056","21,999","30,690","51,630","53,338","44,116","46,027","42,056","44,273","38,907","44,003","36,031","24,607","16,972","11,520","5,568","2,074",505,76,"272,926","272,926","7,205","9,743","10,806","11,153","14,392","23,033","26,329","22,578","23,255","20,878","21,899","18,321","20,486","16,431","11,472","7,876","4,682","1,793",488,88,18,"295,879","295,879","7,042","9,367","10,250","10,846","16,298","28,597","27,009","21,538","22,772","21,178","22,374","20,586","23,517","19,600","13,135","9,096","6,838","3,775","1,586",417,58
1153000000,서울특별시 구로구 ,서울특별시,구로구,"395,461","395,461","10,901","13,284","14,247","14,404","21,141","31,541","32,581","29,039","30,932","29,129","32,271","29,338","31,808","26,397","19,255","13,903","9,505","4,126","1,329",290,40,"194,304","194,304","5,692","6,764","7,187","7,416","10,206","15,272","16,451","15,062","15,848","14,817","16,040","14,512","15,217","12,250","9,064","6,480","4,149","1,466",356,48,7,"201,157","201,157","5,209","6,520","7,060","6,988","10,935","16,269","16,130","13,977","15,084","14,312","16,231","14,826","16,591","14,147","10,191","7,423","5,356","2,660",973,242,33
1154500000,서울특별시 금천구 ,서울특별시,금천구,"229,499","229,499","4,863","5,767","6,340","7,138","12,470","23,695","21,650","15,899","15,401","15,188","19,079","19,076","20,431","15,219","10,661","7,825","5,543","2,326",736,161,31,"115,743","115,743","2,502","2,954","3,224","3,567","5,961","11,726","11,935","8,760","8,386","7,896","9,640","9,534","10,212","7,329","5,087","3,570","2,385",817,214,36,8,"113,756","113,756","2,361","2,813","3,116","3,571","6,509","11,969","9,715","7,139","7,015","7,292","9,439","9,542","10,219","7,890","5,574","4,255","3,158","1,509",522,125,23
1156000000,서울특별시 영등포구 ,서울특별시,영등포구,"376,141","376,141","10,983","12,421","11,624","11,945","20,662","37,058","38,610","31,316","29,057","25,984","29,315","26,207","27,250","21,513","15,712","11,756","8,743","4,335","1,336",273,41,"184,840","184,840","5,622","6,367","5,881","6,297","9,285","17,110","19,320","16,083","15,111","13,248","14,823","13,414","13,443","10,341","7,305","5,327","3,749","1,635",403,66,10,"191,301","191,301","5,361","6,054","5,743","5,648","11,377","19,948","19,290","15,233","13,946","12,736","14,492","12,793","13,807","11,172","8,407","6,429","4,994","2,700",933,207,31
1159000000,서울특별시 동작구 ,서울특별시,동작구,"379,979","379,979","8,915","12,219","12,681","13,915","26,048","38,017","32,612","26,991","28,513","27,184","30,613","26,547","27,683","22,683","16,816","13,071","9,277","4,355","1,432",347,60,"183,746","183,746","4,610","6,174","6,516","7,111","12,166","18,713","16,610","13,590","14,416","13,495","14,987","12,719","12,881","10,424","7,404","5,737","4,101","1,593",404,82,13,"196,233","196,233","4,305","6,045","6,165","6,804","13,882","19,304","16,002","13,401","14,097","13,689","15,626","13,828","14,802","12,259","9,412","7,334","5,176","2,762","1,028",265,47
1162000000,서울특별시 관악구 ,서울특별시,관악구,"486,863","486,863","7,706","10,296","11,749","14,555","37,400","72,815","53,495","33,905","32,769","30,834","35,129","30,956","33,093","27,163","21,105","16,007","11,536","4,606","1,391",299,54,"244,740","244,740","3,993","5,314","6,035","7,327","16,448","36,971","29,807","18,714","17,772","16,305","18,195","15,543","15,841","12,389","9,638","7,103","5,150","1,769",367,49,10,"242,123","242,123","3,713","4,982","5,714","7,228","20,952","35,844","23,688","15,191","14,997","14,529","16,934","15,413","17,252","14,774","11,467","8,904","6,386","2,837","1,024",250,44
1165000000,서울특별시 서초구 ,서울특별시,서초구,"404,594","404,594","10,836","17,995","22,892","21,743","22,477","27,494","28,344","28,335","35,991","37,019","36,527","26,856","25,483","22,086","15,873","11,808","7,376","3,694","1,360",348,57,"193,221","193,221","5,628","9,176","11,678","10,987","10,872","13,135","13,345","12,751","16,401","17,502","18,231","13,186","11,969","10,099","7,269","5,515","3,475","1,497",416,82,7,"211,373","211,373","5,208","8,819","11,214","10,756","11,605","14,359","14,999","15,584","19,590","19,517","18,296","13,670","13,514","11,987","8,604","6,293","3,901","2,197",944,266,50
1168000000,서울특별시 강남구 ,서울특별시,강남구,"528,899","528,899","11,412","20,717","29,980","30,104","29,698","37,963","38,798","36,857","47,081","49,154","48,291","34,830","32,090","29,066","21,202","15,441","9,427","4,458","1,778",470,82,"252,977","252,977","5,926","10,638","15,599","15,721","14,391","17,761","18,504","16,637","21,053","23,015","24,386","17,288","15,146","13,087","9,675","7,345","4,491","1,711",484,105,14,"275,922","275,922","5,486","10,079","14,381","14,383","15,307","20,202","20,294","20,220","26,028","26,139","23,905","17,542","16,944","15,979","11,527","8,096","4,936","2,747","1,294",365,68
1171000000,서울특별시 송파구 ,서울특별시,송파구,"658,604","658,604","18,775","27,005","29,451","28,913","35,909","51,321","54,049","51,125","56,558","51,035","54,643","47,121","48,754","40,415","26,622","17,786","11,002","5,439","2,097",495,89,"317,063","317,063","9,690","13,971","15,060","14,721","17,383","23,912","25,790","24,389","27,230","24,894","26,408","22,819","22,876","18,909","12,911","8,606","4,931","1,938",512,100,13,"341,541","341,541","9,085","13,034","14,391","14,192","18,526","27,409","28,259","26,736","29,328","26,141","28,235","24,302","25,878","21,506","13,711","9,180","6,071","3,501","1,585",395,76
1174000000,서울특별시 강동구 ,서울특별시,강동구,"460,141","460,141","13,765","18,600","19,971","19,159","24,078","33,733","34,855","34,270","39,524","35,293","37,333","33,504","37,389","30,498","20,278","13,513","8,538","3,895","1,531",343,71,"225,281","225,281","7,140","9,661","10,528","10,125","11,924","16,123","17,208","16,994","19,600","17,692","18,556","16,312","17,624","14,178","9,697","6,465","3,738","1,302",335,63,16,"234,860","234,860","6,625","8,939","9,443","9,034","12,154","17,610","17,647","17,276","19,924","17,601","18,777","17,192","19,765","16,320","10,581","7,048","4,800","2,593","1,196",280,55
2600000000,부산광역시  ,부산광역시,부산광역시,"3,316,107","3,316,107","80,689","124,494","134,248","131,837","181,552","212,108","200,002","195,377","251,447","242,657","280,747","262,102","303,306","254,134","183,061","126,485","93,231","41,976","13,450","2,795",409,"1,618,749","1,618,749","41,333","63,912","68,919","67,836","93,245","109,745","103,536","99,530","127,544","121,660","138,387","126,702","143,246","119,500","83,807","55,948","36,851","13,453","3,103",420,72,"1,697,358","1,697,358","39,356","60,582","65,329","64,001","88,307","102,363","96,466","95,847","123,903","120,997","142,360","135,400","160,060","134,634","99,254","70,537","56,380","28,523","10,347","2,375",337
2611000000,부산광역시 중구 ,부산광역시,중구,"39,627","39,627",361,638,791,991,"2,345","3,310","2,547","1,849","2,252","2,510","3,342","3,148","4,026","3,826","2,892","2,110","1,666",690,259,64,10,"19,188","19,188",198,343,409,481,"1,041","1,625","1,375",945,"1,251","1,342","1,772","1,595","1,918","1,812","1,249",908,634,207,75,8,0,"20,439","20,439",163,295,382,510,"1,304","1,685","1,172",904,"1,001","1,168","1,570","1,553","2,108","2,014","1,643","1,202","1,032",483,184,56,10
2614000000,부산광역시 서구 ,부산광역시,서구,"105,036","105,036","2,022","3,154","3,494","3,634","5,952","6,481","5,437","5,068","7,021","6,998","8,616","8,315","10,309","9,105","7,119","5,366","4,209","1,962",604,153,17,"50,701","50,701","1,064","1,681","1,774","1,841","2,829","3,206","2,833","2,573","3,596","3,589","4,462","4,182","4,963","4,230","3,180","2,280","1,592",658,138,24,6,"54,335","54,335",958,"1,473","1,720","1,793","3,123","3,275","2,604","2,495","3,425","3,409","4,154","4,133","5,346","4,875","3,939","3,086","2,617","1,304",466,129,11
2617000000,부산광역시 동구 ,부산광역시,동구,"86,349","86,349","1,687","2,104","2,202","2,446","3,932","5,751","5,546","4,795","5,571","5,693","7,169","6,712","8,342","7,648","6,171","4,572","3,686","1,692",506,105,19,"42,199","42,199",873,"1,097","1,143","1,264","1,948","2,834","2,893","2,566","3,019","3,042","3,800","3,421","4,007","3,594","2,763","1,895","1,357",537,119,20,7,"44,150","44,150",814,"1,007","1,059","1,182","1,984","2,917","2,653","2,229","2,552","2,651","3,369","3,291","4,335","4,054","3,408","2,677","2,329","1,155",387,85,12
2620000000,부산광역시 영도구 ,부산광역시,영도구,"107,964","107,964","1,729","2,763","3,337","3,537","5,043","5,411","4,945","4,932","6,721","7,273","8,882","8,982","11,549","10,630","8,346","6,343","4,767","2,001",623,130,20,"53,123","53,123",869,"1,394","1,725","1,825","2,774","2,965","2,703","2,663","3,514","3,802","4,581","4,654","5,603","5,009","3,747","2,686","1,813",636,140,17,3,"54,841","54,841",860,"1,369","1,612","1,712","2,269","2,446","2,242","2,269","3,207","3,471","4,301","4,328","5,946","5,621","4,599","3,657","2,954","1,365",483,113,17
2623000000,부산광역시 부산진구 ,부산광역시,부산진구,"356,361","356,361","8,418","11,187","11,815","12,331","21,623","28,545","26,132","22,501","25,390","24,504","28,793","27,164","31,938","26,597","19,250","13,408","10,467","4,599","1,404",262,33,"171,314","171,314","4,324","5,684","5,966","6,252","10,174","13,740","13,173","11,619","13,023","12,303","14,207","13,043","14,821","12,491","8,763","5,785","4,035","1,510",360,36,5,"185,047","185,047","4,094","5,503","5,849","6,079","11,449","14,805","12,959","10,882","12,367","12,201","14,586","14,121","17,117","14,106","10,487","7,623","6,432","3,089","1,044",226,28
2626000000,부산광역시 동래구 ,부산광역시,동래구,"273,177","273,177","7,337","11,841","13,158","12,464","14,176","15,971","15,736","16,529","22,374","21,484","23,366","20,361","23,232","19,818","14,511","9,697","6,854","3,039",988,213,28,"132,253","132,253","3,770","6,050","6,851","6,482","7,336","8,127","8,043","8,178","11,004","10,428","11,487","9,586","10,669","9,071","6,628","4,441","2,834",999,235,30,4,"140,924","140,924","3,567","5,791","6,307","5,982","6,840","7,844","7,693","8,351","11,370","11,056","11,879","10,775","12,563","10,747","7,883","5,256","4,020","2,040",753,183,24
2629000000,부산광역시 남구 ,부산광역시,남구,"256,190","256,190","5,274","9,668","11,051","11,293","17,101","15,780","13,136","13,470","19,173","19,720","22,389","18,974","21,972","19,376","14,791","10,695","7,695","3,368","1,024",212,28,"125,016","125,016","2,685","4,956","5,634","5,826","8,782","8,588","6,899","6,788","9,602","9,862","11,164","9,258","10,171","8,876","6,614","4,669","3,218","1,139",251,30,4,"131,174","131,174","2,589","4,712","5,417","5,467","8,319","7,192","6,237","6,682","9,571","9,858","11,225","9,716","11,801","10,500","8,177","6,026","4,477","2,229",773,182,24
2632000000,부산광역시 북구 ,부산광역시,북구,"278,575","278,575","7,056","10,080","10,696","11,174","14,961","17,732","17,392","15,883","19,124","19,251","24,561","25,723","28,859","21,635","14,179","9,218","6,795","3,056",969,202,29,"137,095","137,095","3,605","5,201","5,514","5,822","8,022","9,359","9,144","8,345","9,690","9,516","11,486","12,108","14,094","10,540","6,735","4,150","2,636",915,173,38,2,"141,480","141,480","3,451","4,879","5,182","5,352","6,939","8,373","8,248","7,538","9,434","9,735","13,075","13,615","14,765","11,095","7,444","5,068","4,159","2,141",796,164,27
